chr1	64867	66500
chr1	629253	630272
chr1	942097	942257
chr1	943241	943381
chr1	943684	943815
chr1	943894	944067
chr1	944084	944185
chr1	960000	960170
chr1	1406898	1407002
chr1	1455684	1456900
chr1	1458568	1459763
chr1	1478403	1479424
chr1	1480844	1480970
chr1	1486008	1487202
chr1	1490562	1490735
chr1	1517062	1518092
chr1	1518900	1519022
chr1	1523832	1524882
chr1	1525868	1527061
chr1	1529221	1529395
chr1	1632116	1635128
chr1	1635202	1636815
chr1	1637348	1639151
chr1	1639833	1643091
chr1	1714655	1715814
chr1	1656876	1658085
chr1	1659528	1660683
chr1	1667768	1669024
chr1	1674963	1677294
chr1	1699278	1702289
chr1	1702358	1703945
chr1	1704487	1706292
chr1	1706968	1710219
chr1	1711719	1715815
chr1	1722210	1723417
chr1	1724843	1725994
chr1	1734131	1735391
chr1	1737822	1740152
chr1	3627489	3627603
chr1	3628499	3628636
chr1	3884042	3884156
chr1	3884263	3884630
chr1	6427650	6436016
chr1	6436038	6436964
chr1	6437016	6438248
chr1	6438464	6440555
chr1	6440556	6442586
chr1	6442860	6447176
chr1	6447232	6455357
chr1	6455366	6459410
chr1	9580057	9580215
chr1	9780900	9780999
chr1	9781566	9781714
chr1	9973451	9973730
chr1	10400381	10400581
chr1	10404150	10404288
chr1	10411406	10411560
chr1	10413049	10413260
chr1	10416975	10417129
chr1	10417366	10417517
chr1	10418814	10418931
chr1	10419403	10419547
chr1	10419617	10419833
chr1	10419846	10420156
chr1	11023215	11023373
chr1	11706281	11706605
chr1	11709265	11709472
chr1	11711840	11711973
chr1	11719581	11719838
chr1	11719898	11720238
chr1	11720606	11720935
chr1	11922802	11922972
chr1	11925370	11925532
chr1	12795453	12795555
chr1	12847097	12848914
chr1	12917236	12919481
chr1	12919894	12920969
chr1	13225589	13226238
chr1	13004674	13005552
chr1_KI270766v1_alt	18390	19039
chr1	13075190	13075337
chr1	13095601	13095865
chr1	13115508	13117022
chr1	13130924	13131188
chr1	13151445	13151606
chr1_KI270766v1_alt	166870	167751
chr1	13280785	13282115
chr1	13282242	13284544
chr1	13342899	13343200
chr1	13343682	13344683
chr1	13344712	13345558
chr1	13369195	13370020
chr1	13370352	13371198
chr1	13371373	13372113
chr1	13415927	13417002
chr1	13417639	13419226
chr1	13420085	13421819
chr1	12920253	12921000
chr1	13281530	13282117
chr1	13282243	13284544
chr1	13342899	13343203
chr1	13343684	13344687
chr1	13344710	13345561
chr1	13369183	13370021
chr1	13370351	13371201
chr1	13371373	13372112
chr1	13415918	13417027
chr1	13417655	13419234
chr1	13420084	13421821
chr1	13555317	13555454
chr1	15463410	15463549
chr1	15483289	15483424
chr1	16241159	16241305
chr1	16241369	16241473
chr1	16479123	16479228
chr1	16479728	16479872
chr1	16480211	16480698
chr1	16480979	16481615
chr1	16481928	16482076
chr1	16482127	16483155
chr1	16492835	16493006
chr1	16493179	16493292
chr1	16493548	16494132
chr1	16494155	16494393
chr1	16494833	16494933
chr1	16578601	16579887
chr1	16584896	16586188
chr1	16626468	16626723
chr1	16634443	16634754
chr1	16634844	16635049
chr1	16635417	16635610
chr1	16644620	16645413
chr1	16645417	16650287
chr1	16645625	16646691
chr1	16646729	16646925
chr1	16646935	16647072
chr1	16647088	16647719
chr1	16647732	16647832
chr1	16647847	16648001
chr1	16648011	16648469
chr1	16648491	16648658
chr1	16648670	16649052
chr1	16649068	16650302
chr1	16650314	16650495
chr1	16650509	16650622
chr1	16650706	16650916
chr1	16650984	16651126
chr1	16651150	16651289
chr1	16651303	16651475
chr1	16651498	16651599
chr1	16651633	16651895
chr1	16652085	16652709
chr1	16652720	16652946
chr1	16653038	16653598
chr1	16653745	16653921
chr1	16654284	16654433
chr1	16655124	16655290
chr1	16655385	16655499
chr1	16672498	16674156
chr1	16689051	16692464
chr1	16692467	16693132
chr1	16693141	16694044
chr1	16694045	16699625
chr1	16699749	16701592
chr1	16701596	16702185
chr1	16702189	16709879
chr1	16709925	16710400
chr1	16710401	16718734
chr1	16719069	16720727
chr1	16733304	16734966
